"Close","Close"
"Open chat","Open chat"
"Back","Back"
"Online","Online"
"More","More"
"Close chat","Close chat"
"Start a new conversation","Start a new conversation"
"Rate this conversation","Rate this conversation"
"Talk to a human","Talk to a human"
"Attach an image","Attach an image"
"Type your message…","Type your message…"
"Your message","Your message"
"Send","Send"
"Answers are generated automatically and may be imperfect. Personal data is only used to help you.","Answers are generated automatically and may be imperfect. Personal data is only used to help you."
"Hi %1!","Hi %1!"
"Hi there!","Hi there!"
"Continue the conversation","Continue the conversation"
"Start a conversation","Start a conversation"
"Popular questions","Popular questions"
"Helpful","Helpful"
"Not helpful","Not helpful"
"Source:","Source:"
"View","View"
"Add to cart","Add to cart"
"Order %1","Order %1"
"Total","Total"
"How was this conversation?","How was this conversation?"
"Anything we could do better? (optional)","Anything we could do better? (optional)"
"Send rating","Send rating"
"I want to talk to a human","I want to talk to a human"
"Sorry, something went wrong. Please try again.","Sorry, something went wrong. Please try again."
"Your session expired. Please reload the page and try again.","Your session expired. Please reload the page and try again."
"Sorry, I could not reach the assistant. Please try again in a moment.","Sorry, I could not reach the assistant. Please try again in a moment."
"Thank you for your feedback!","Thank you for your feedback!"
"Adding…","Adding…"
"Added ✓","Added ✓"
"Remove","Remove"
